="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)",="(31)"
="",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths",="dln_deaths"
="d_index",="1.301",="1.310",="1.292",="1.343",="1.598",="1.499",="1.402",="1.414",="1.416",="1.429",="1.547",="1.517",="1.408",="1.412",="1.427",="1.489",="1.599",="1.769",="1.875*",="1.851",="1.920*",="1.811",="1.821",="1.790",="2.363*",="2.261*",="2.359*",="2.303*",="2.370*",="2.238*",="2.145*"
="",="(0.916)",="(0.917)",="(0.918)",="(0.914)",="(0.911)",="(0.913)",="(0.912)",="(0.920)",="(0.922)",="(0.923)",="(0.929)",="(0.931)",="(0.932)",="(0.936)",="(0.942)",="(0.942)",="(0.929)",="(0.920)",="(0.948)",="(0.947)",="(0.944)",="(0.950)",="(0.957)",="(0.965)",="(0.992)",="(0.971)",="(0.976)",="(0.970)",="(0.968)",="(0.981)",="(0.993)"
="L.d_index",="0.138",="0.173",="0.177",="0.101",="0.041",="-0.044",="-0.129",="-0.134",="-0.133",="-0.112",="-0.123",="-0.111",="-0.186",="-0.149",="-0.098",="-0.071",="-0.964",="-1.114",="-1.074",="-1.504",="-1.490",="-1.595",="-1.489",="-1.465",="-1.436",="-2.353*",="-2.228*",="-2.193*",="-2.061*",="-2.113*",="-2.249*"
="",="(0.851)",="(0.856)",="(0.857)",="(0.854)",="(0.847)",="(0.848)",="(0.848)",="(0.852)",="(0.853)",="(0.854)",="(0.856)",="(0.858)",="(0.858)",="(0.862)",="(0.867)",="(0.869)",="(0.938)",="(0.932)",="(0.942)",="(0.962)",="(0.958)",="(0.961)",="(0.971)",="(0.978)",="(0.974)",="(0.981)",="(0.988)",="(0.982)",="(0.979)",="(0.986)",="(0.999)"
="L2.d_index",="",="-0.309",="-0.348",="-0.374",="-0.346",="-0.366",="-0.439",="-0.441",="-0.435",="-0.418",="-0.357",="-0.327",="-0.335",="-0.305",="-0.338",="-0.201",="-0.092",="0.275",="0.348",="0.363",="0.542",="0.485",="0.537",="0.546",="0.552",="0.517",="0.774",="0.831",="0.735",="0.702",="0.661"
="",="",="(0.757)",="(0.760)",="(0.757)",="(0.751)",="(0.750)",="(0.777)",="(0.779)",="(0.782)",="(0.783)",="(0.796)",="(0.799)",="(0.799)",="(0.801)",="(0.809)",="(0.811)",="(0.802)",="(0.857)",="(0.867)",="(0.868)",="(0.883)",="(0.885)",="(0.892)",="(0.903)",="(0.900)",="(0.877)",="(0.906)",="(0.904)",="(0.904)",="(0.914)",="(0.923)"
="L3.d_index",="",="",="0.439",="0.329",="0.384",="0.358",="0.320",="0.352",="0.349",="0.341",="0.394",="0.453",="0.411",="0.425",="0.427",="0.376",="0.124",="0.044",="0.030",="0.075",="0.118",="0.146",="0.209",="0.232",="0.225",="0.122",="0.156",="0.426",="0.432",="0.415",="0.391"
="",="",="",="(0.766)",="(0.764)",="(0.758)",="(0.757)",="(0.757)",="(0.787)",="(0.789)",="(0.790)",="(0.795)",="(0.809)",="(0.810)",="(0.812)",="(0.815)",="(0.829)",="(0.819)",="(0.819)",="(0.829)",="(0.829)",="(0.827)",="(0.846)",="(0.852)",="(0.860)",="(0.862)",="(0.840)",="(0.844)",="(0.860)",="(0.862)",="(0.873)",="(0.883)"
="L4.d_index",="",="",="",="1.422*",="1.497*",="1.501*",="1.501*",="1.500*",="1.499*",="1.465*",="1.459*",="1.385*",="1.309",="1.325",="1.345",="1.370",="1.495*",="1.706*",="1.811*",="1.834*",="1.861*",="1.782*",="1.809*",="1.809*",="1.789*",="1.815*",="1.848*",="1.827*",="1.467",="1.417",="1.375"
="",="",="",="",="(0.637)",="(0.633)",="(0.632)",="(0.636)",="(0.638)",="(0.638)",="(0.640)",="(0.642)",="(0.697)",="(0.753)",="(0.756)",="(0.759)",="(0.759)",="(0.760)",="(0.752)",="(0.766)",="(0.769)",="(0.767)",="(0.770)",="(0.789)",="(0.797)",="(0.796)",="(0.781)",="(0.785)",="(0.781)",="(0.801)",="(0.815)",="(0.826)"
="L5.d_index",="",="",="",="",="-1.687**",="-1.676**",="-1.640**",="-1.631**",="-1.629**",="-1.620**",="-1.602**",="-1.571*",="-1.534*",="-1.418*",="-1.387*",="-1.354",="-1.877*",="-1.943*",="-1.956*",="-1.902*",="-1.865*",="-2.000*",="-1.939*",="-1.850*",="-1.855*",="-1.972*",="-1.867*",="-1.882*",="-1.783*",="-1.477",="-1.515"
="",="",="",="",="",="(0.595)",="(0.594)",="(0.593)",="(0.598)",="(0.599)",="(0.599)",="(0.605)",="(0.608)",="(0.649)",="(0.695)",="(0.699)",="(0.699)",="(0.756)",="(0.758)",="(0.764)",="(0.770)",="(0.770)",="(0.774)",="(0.780)",="(0.803)",="(0.801)",="(0.783)",="(0.790)",="(0.785)",="(0.784)",="(0.811)",="(0.826)"
="L6.d_index",="",="",="",="",="",="0.789",="0.793",="0.794",="0.792",="0.794",="0.828",="0.828",="0.760",="0.707",="0.576",="0.635",="0.699",="1.142",="1.163",="1.156",="1.184",="1.427",="1.515*",="1.450",="1.088",="1.118",="1.176",="1.090",="1.156",="1.086",="1.130"
="",="",="",="",="",="",="(0.553)",="(0.552)",="(0.553)",="(0.554)",="(0.554)",="(0.565)",="(0.567)",="(0.568)",="(0.603)",="(0.644)",="(0.644)",="(0.641)",="(0.686)",="(0.700)",="(0.700)",="(0.703)",="(0.748)",="(0.755)",="(0.762)",="(0.778)",="(0.758)",="(0.763)",="(0.762)",="(0.761)",="(0.768)",="(0.793)"
="L7.d_index",="",="",="",="",="",="",="1.004",="1.006",="1.006",="0.988",="1.022",="1.046",="1.046",="1.074*",="1.143*",="0.745",="0.699",="0.621",="0.409",="0.469",="0.511",="0.334",="0.252",="0.252",="0.267",="0.649",="0.699",="0.663",="0.798",="0.747",="0.715"
="",="",="",="",="",="",="",="(0.532)",="(0.533)",="(0.534)",="(0.535)",="(0.539)",="(0.541)",="(0.541)",="(0.543)",="(0.574)",="(0.608)",="(0.605)",="(0.616)",="(0.670)",="(0.677)",="(0.676)",="(0.683)",="(0.730)",="(0.738)",="(0.736)",="(0.733)",="(0.737)",="(0.732)",="(0.736)",="(0.743)",="(0.751)"
="L8.d_index",="",="",="",="",="",="",="",="-0.050",="-0.054",="-0.060",="-0.131",="-0.132",="-0.075",="-0.083",="-0.074",="-0.031",="0.800",="0.841",="0.899",="0.824",="0.653",="0.588",="0.700",="0.482",="0.464",="0.395",="0.413",="0.310",="0.427",="0.265",="0.166"
